variant,size,seed,layers,similarity,species,num_clusters,cluster_sizes
without_influencer,40,11,3,hybrid,red,37,152;100;99;23;21;9;3;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,11,3,hybrid,green,33,186;123;71;25;11;9;6;4;4;4;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,11,3,hybrid,blue,42,168;55;27;21;18;12;7;4;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
with_influencer,40,11,3,hybrid,red,10,148;110;60;47;25;19;18;10;9;1
with_influencer,40,11,3,hybrid,green,11,224;116;77;17;15;12;11;10;5;4;4
with_influencer,40,11,3,hybrid,blue,8,153;62;38;31;20;13;8;5
without_influencer,40,42,3,hybrid,red,39,109;67;61;35;28;18;14;13;12;4;4;4;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,42,3,hybrid,green,43,93;93;46;31;27;25;22;20;20;16;7;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,42,3,hybrid,blue,38,108;103;70;31;28;24;8;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,20,1,hybrid,red,18,167;95;57;19;16;13;7;6;4;4;4;3;3;3;2;1;1;1
without_influencer,40,20,1,hybrid,green,17,115;66;50;43;36;31;24;9;7;6;5;2;2;1;1;1;1
without_influencer,40,20,1,hybrid,blue,14,162;74;66;58;23;18;11;11;5;4;4;1;1;1
with_influencer,40,11,2,hybrid,red,13,141;72;43;43;41;28;23;19;12;8;8;7;1
with_influencer,40,11,2,hybrid,green,13,159;129;57;15;14;13;12;9;6;5;4;4;3
with_influencer,40,11,2,hybrid,blue,9,191;73;42;34;20;14;12;8;2
with_influencer,40,42,1,hybrid,red,12,111;70;64;57;43;18;13;7;6;5;4;2
with_influencer,40,42,1,hybrid,green,15,133;99;60;31;30;27;20;17;11;7;6;4;2;2;1
with_influencer,40,42,1,hybrid,blue,8,136;126;87;17;13;12;10;8
without_influencer,40,20,3,hybrid,red,37,149;112;58;15;11;6;4;4;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,20,3,hybrid,green,46,87;53;34;20;16;16;12;12;8;7;7;6;6;5;4;4;4;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,20,3,hybrid,blue,25,169;167;70;25;21;17;16;8;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
