variant,size,seed,layers,similarity,step,moves,tau,entropy,gini,drift
without_influencer,80,605,3,hybrid,16,0,0.679205,0.673540,0.302108,0.004701
without_influencer,80,70,1,hybrid,16,1,0.672453,0.342814,0.159111,0.014051
with_influencer,80,605,2,hybrid,16,10,0.690918,0.231117,0.107978,0.028379
with_influencer,80,605,3,hybrid,16,16,0.697226,0.214821,0.100407,0.030186
with_influencer,80,605,1,hybrid,16,34,0.713179,0.167957,0.078293,0.020880
without_influencer,80,70,2,hybrid,16,0,0.665797,0.565639,0.256243,0.007898
with_influencer,80,70,1,hybrid,16,40,0.697257,0.220331,0.102594,0.019744
without_influencer,80,70,3,hybrid,16,0,0.677053,0.681336,0.306267,0.007116
baseline,100,11,1,cosine,16,2609,0.833333,0.441876,0.192971,0.000000
baseline,100,42,1,cosine,16,2692,0.800000,0.431039,0.188908,0.000000
with_influencer,80,70,3,hybrid,16,17,0.681438,0.265405,0.123092,0.025469
with_influencer,80,70,2,hybrid,16,18,0.683201,0.242798,0.112701,0.031634
baseline,100,20,1,cosine,16,2643,0.833333,0.440479,0.192197,0.000000
baseline,100,17,1,cosine,16,2683,0.833333,0.449363,0.196693,0.000000
without_influencer,100,11,2,hybrid,16,0,0.667453,0.564430,0.256916,0.008287
without_influencer,100,42,1,hybrid,16,1,0.674866,0.330929,0.153690,0.013010
without_influencer,100,11,1,hybrid,16,1,0.676036,0.337623,0.157126,0.013100
without_influencer,100,11,3,hybrid,16,0,0.676775,0.698432,0.314068,0.005712
without_influencer,100,42,2,hybrid,16,1,0.667405,0.567171,0.257721,0.008901
with_influencer,100,11,2,hybrid,16,30,0.687404,0.232048,0.108164,0.032388
with_influencer,100,11,3,hybrid,16,25,0.686876,0.251630,0.117248,0.025533
without_influencer,100,20,1,hybrid,16,0,0.681755,0.308847,0.143307,0.012954
with_influencer,100,11,1,hybrid,16,107,0.703548,0.197663,0.091689,0.023830
with_influencer,100,42,1,hybrid,16,50,0.704693,0.196390,0.091330,0.020642
with_influencer,100,42,2,hybrid,16,34,0.690203,0.222239,0.103283,0.035957
without_influencer,100,42,3,hybrid,16,0,0.677990,0.680346,0.305060,0.005237
with_influencer,100,42,3,hybrid,16,17,0.683681,0.261541,0.121638,0.022158
baseline,100,22,1,cosine,16,2573,0.750000,0.371842,0.163584,0.000000
with_influencer,100,20,1,hybrid,16,75,0.708981,0.188126,0.087456,0.021236
without_influencer,100,17,1,hybrid,16,0,0.677792,0.323953,0.150622,0.012297
without_influencer,100,20,3,hybrid,16,0,0.679347,0.678322,0.305293,0.006128
without_influencer,100,20,2,hybrid,16,1,0.668926,0.540725,0.246555,0.009086
baseline,100,605,1,cosine,16,2588,0.800000,0.409849,0.179809,0.000000
with_influencer,100,20,3,hybrid,16,39,0.694446,0.221425,0.103091,0.030152
with_influencer,100,20,2,hybrid,16,26,0.696517,0.210507,0.098115,0.034552
without_influencer,100,17,2,hybrid,16,0,0.668289,0.554926,0.252191,0.008842
baseline,100,70,1,cosine,16,2513,0.750000,0.362779,0.159683,0.000000
without_influencer,100,22,1,hybrid,16,2,0.673516,0.335933,0.156288,0.013148
without_influencer,100,17,3,hybrid,16,1,0.678321,0.666699,0.300319,0.006280
with_influencer,100,17,1,hybrid,16,74,0.704057,0.199037,0.092383,0.022592
with_influencer,100,17,2,hybrid,16,36,0.692733,0.218746,0.102055,0.034852
with_influencer,100,17,3,hybrid,16,22,0.686817,0.254602,0.118482,0.021793
without_influencer,100,22,2,hybrid,16,0,0.668128,0.572246,0.260674,0.009170
without_influencer,100,605,1,hybrid,16,5,0.676008,0.327884,0.152447,0.013941
with_influencer,100,22,1,hybrid,16,50,0.694954,0.226297,0.105134,0.019247
with_influencer,100,22,2,hybrid,16,20,0.679918,0.259872,0.121021,0.027480
without_influencer,100,22,3,hybrid,16,0,0.676666,0.687974,0.309676,0.006725
with_influencer,100,22,3,hybrid,16,31,0.687063,0.252875,0.118184,0.024946
without_influencer,100,605,3,hybrid,16,0,0.677603,0.700777,0.314367,0.006121
without_influencer,100,605,2,hybrid,16,0,0.668197,0.553264,0.251387,0.009083
