variant,size,layers,final_entropy_mean,final_entropy_std,final_gini_mean,final_gini_std,final_drift_mean,final_drift_std,final_moves_mean,final_moves_std,total_clusters_mean,total_clusters_std,frac_largest_red_mean,frac_largest_green_mean,frac_largest_blue_mean
with_influencer,120,1,0.22969828571428572,0.015525561285766612,0.10660257142857144,0.007189210848142348,0.03240157142857143,0.001852397622645028,103.57142857142857,5.380741673076393,261.7142857142857,18.015866023353656,0.125081,0.12744985714285714,0.10865757142857142
with_influencer,120,2,0.26696057142857144,0.014335656976657236,0.12415157142857143,0.006629790365140839,0.03436471428571428,0.0022752298575664607,55.714285714285715,8.260635280539582,260.57142857142856,19.99880948837658,0.16395885714285716,0.13204814285714286,0.12471471428571428
with_influencer,120,3,0.288477,0.013727048468868564,0.13409957142857143,0.006384982220208671,0.027412285714285715,0.0008128539668529469,37.714285714285715,4.990467102863407,229.57142857142858,17.586520812420922,0.13479642857142857,0.1548,0.12967900000000002
with_influencer,140,1,0.23360557142857144,0.01452257365686426,0.10837157142857143,0.006725401644936477,0.03304614285714286,0.000851486431399318,168.0,27.098585448936877,353.42857142857144,14.374249462808404,0.099393,0.07863171428571428,0.08299742857142857
with_influencer,140,2,0.25964642857142856,0.012828116643492425,0.12068999999999999,0.0059514529038434535,0.03597128571428571,0.0022514528431130665,88.85714285714286,12.863754913562,342.0,13.868429375143148,0.08028457142857144,0.09048814285714286,0.087807
with_influencer,140,3,0.2920012857142857,0.011119338240415291,0.13558185714285714,0.005048792411015113,0.027700285714285712,0.0018318050946435063,56.142857142857146,10.636863125135019,312.85714285714283,8.989411761039976,0.09605371428571428,0.12269428571428573,0.11196428571428571
without_influencer,20,1,0.43217099999999997,0.07684222591778561,0.20137814285714284,0.03567698701510807,0.014822428571428571,0.0022993431567256226,0.14285714285714285,0.37796447300922725,18.142857142857142,4.099941927579439,0.4619794285714286,0.5400737142857143,0.5360297142857143
without_influencer,20,2,0.5993712857142857,0.0724236846473912,0.2725784285714286,0.0324159341520861,0.008476142857142857,0.002464532371368615,0.0,0.0,26.428571428571427,3.598941643369749,0.5243165714285715,0.6498688571428571,0.52766
without_influencer,20,3,0.6803558571428571,0.08134126822515242,0.3079045714285714,0.03610033665982051,0.005449285714285714,0.002374683678182964,0.0,0.0,34.57142857142857,3.6903993847614407,0.5095372857142857,0.5768098571428572,0.5284281428571428
without_influencer,40,1,0.36354385714285714,0.02556417781733241,0.1690402857142857,0.011326249684019945,0.014055,0.0011955071448273877,0.14285714285714285,0.37796447300922725,46.57142857142857,4.503966505838413,0.38227785714285717,0.3940877142857143,0.36875742857142857
without_influencer,40,2,0.5536158571428571,0.01857017397538833,0.251552,0.008061761263313785,0.008852285714285714,0.0016190521624586105,0.0,0.0,77.71428571428571,5.282495802626057,0.4409877142857143,0.4353268571428571,0.3824305714285714
without_influencer,40,3,0.6581308571428571,0.02230856798353923,0.29600585714285715,0.010339895412568587,0.006232857142857143,0.002537605264061074,0.0,0.0,110.0,5.802298395176402,0.39187785714285717,0.3946647142857143,0.3571218571428571
without_influencer,60,1,0.36350314285714286,0.01960767246452751,0.16882771428571428,0.009105285492765283,0.012929714285714286,0.0007133574873525231,0.0,0.0,91.85714285714286,6.618876325292972,0.22086157142857146,0.204272,0.2375887142857143
without_influencer,60,2,0.5796421428571429,0.020630327065015792,0.2634457142857143,0.009010157725483796,0.008312142857142856,0.0008752733722617613,0.0,0.0,158.28571428571428,6.1023024538361925,0.23903614285714284,0.25808185714285714,0.25655228571428573
without_influencer,60,3,0.6818737142857143,0.02642455858170757,0.30773342857142855,0.01143987119474607,0.006368857142857142,0.0014777205902528198,0.0,0.0,222.28571428571428,8.769536014223437,0.25086385714285714,0.23928600000000003,0.24636799999999998
without_influencer,80,1,0.3416427142857143,0.017712598103367796,0.15864585714285714,0.008324699422573195,0.013462142857142857,0.0006447439875825203,1.0,0.8164965809277259,147.57142857142858,6.90065559342354,0.17999228571428572,0.1395147142857143,0.21819314285714286
