variant,size,seed,layers,similarity,run_tag,final_step,final_moves,final_tau,final_entropy,final_gini,final_drift,n_steps,auc_moves,auc_tau,auc_entropy,auc_gini,auc_drift,first_zero_moves_step,stable_moves_step,stable_tau_step,stable_entropy_step,stable_gini_step,stable_drift_step,delta_moves_last,delta_tau_last,delta_entropy_last,delta_gini_last,delta_drift_last,total_clusters,num_clusters_red,num_clusters_green,num_clusters_blue,largest_red,largest_green,largest_blue,total_red,total_green,total_blue,frac_largest_red,frac_largest_green,frac_largest_blue
baseline,80,70,1,cosine,baseline_size80_seed70_L1_cosine,16,1657,0.8,0.434036,0.189323,0.0,16,26550.0,11.429761,8.485686000000001,3.7192060000000002,0.0,,,16.0,,,2.0,-19.0,0.0,-0.010923000000000016,-0.004948000000000008,0.0,478,153,155,170,412,212,218,1634,1704,1670,0.252142,0.124413,0.130539
baseline,80,605,1,cosine,baseline_size80_seed605_L1_cosine,16,1666,0.8,0.397385,0.174299,0.0,16,26147.0,11.634522,8.036921,3.5286079999999997,0.0,,,5.0,,,2.0,-48.0,-0.033332999999999946,-0.04358000000000001,-0.017568,0.0,478,162,152,164,189,327,604,1607,1651,1697,0.11761,0.198062,0.355922
baseline,100,11,1,cosine,baseline_size100_seed11_L1_cosine,16,2609,0.833333,0.441876,0.192971,0.0,16,41338.0,11.465475000000001,8.404454,3.691922,0.0,,,5.0,,,2.0,181.0,0.0,0.03164499999999998,0.013421000000000016,0.0,814,269,281,264,420,309,619,2608,2568,2605,0.161043,0.120327,0.23762
baseline,100,17,1,cosine,baseline_size100_seed17_L1_cosine,16,2683,0.833333,0.449363,0.196693,0.0,16,40865.0,11.472618,8.298163,3.6440500000000005,0.0,,,16.0,,,2.0,183.0,0.0,0.020664000000000016,0.010207999999999995,0.0,781,262,237,282,403,464,756,2612,2635,2526,0.154288,0.176091,0.299287
baseline,100,20,1,cosine,baseline_size100_seed20_L1_cosine,16,2643,0.833333,0.440479,0.192197,0.0,16,41106.0,11.584522,8.150839999999999,3.582072,0.0,,,6.0,,,2.0,-11.0,0.033332999999999946,0.02653500000000003,0.011208999999999997,0.0,797,278,274,245,496,654,575,2525,2620,2642,0.196436,0.249618,0.217638
baseline,100,22,1,cosine,baseline_size100_seed22_L1_cosine,16,2573,0.75,0.371842,0.163584,0.0,16,41245.0,11.379761,8.37833,3.6773210000000005,0.0,,,5.0,,,2.0,-146.0,-0.08333299999999999,-0.099053,-0.041514999999999996,0.0,641,227,210,204,639,366,398,2558,2616,2659,0.249805,0.139908,0.14968
baseline,100,42,1,cosine,baseline_size100_seed42_L1_cosine,16,2692,0.8,0.431039,0.188908,0.0,16,41278.0,11.479761,8.374436,3.674594,0.0,,,5.0,,,2.0,59.0,-0.033332999999999946,-0.02932800000000002,-0.011376999999999998,0.0,762,260,247,255,657,516,273,2548,2626,2640,0.257849,0.196497,0.103409
baseline,100,70,1,cosine,baseline_size100_seed70_L1_cosine,16,2513,0.75,0.362779,0.159683,0.0,16,41320.0,11.429761000000001,8.326447000000002,3.6553839999999997,0.0,,,5.0,,,2.0,-199.0,-0.08333299999999999,-0.10101199999999999,-0.04258600000000001,0.0,628,221,210,197,323,475,530,2569,2640,2607,0.12573,0.179924,0.203299
baseline,100,605,1,cosine,baseline_size100_seed605_L1_cosine,16,2588,0.8,0.409849,0.179809,0.0,16,41612.0,11.496428,8.388946,3.680276,0.0,,,5.0,,,2.0,-125.0,0.0,-0.018750999999999962,-0.007654999999999995,0.0,784,251,266,267,495,682,1027,2576,2564,2655,0.192158,0.265991,0.386817
baseline,120,11,1,cosine,baseline_size120_seed11_L1_cosine,12,3707,0.8,0.431059,0.188224,0.0,12,44750.0,8.165476,6.753125000000001,2.9660770000000003,0.0,,,9.0,,,2.0,-197.0,0.050000000000000044,-0.018062999999999996,-0.007934999999999998,0.0,985,316,325,344,355,253,643,3718,3710,3806,0.095481,0.068194,0.168944
baseline,120,17,1,cosine,baseline_size120_seed17_L1_cosine,12,3608,0.8,0.439861,0.191957,0.0,12,44651.0,8.165476,6.782338999999999,2.982575,0.0,,,9.0,,,2.0,-229.0,0.050000000000000044,0.011151000000000022,0.0038739999999999886,0.0,1016,337,344,335,689,480,581,3769,3767,3616,0.182807,0.127422,0.160675
baseline,120,20,1,cosine,baseline_size120_seed20_L1_cosine,12,3851,0.8,0.440525,0.192072,0.0,12,44925.0,8.229762000000001,6.729463999999999,2.955359,0.0,,,5.0,,,2.0,-54.0,0.0,-0.01949400000000001,-0.008432999999999996,0.0,1090,367,344,379,512,334,518,3662,3781,3783,0.139814,0.088336,0.136928
baseline,120,22,1,cosine,baseline_size120_seed22_L1_cosine,12,3606,0.8,0.424104,0.185106,0.0,12,44209.0,8.179762,6.724609,2.9516740000000006,0.0,,,5.0,,,2.0,-6.0,0.0,-0.016309000000000018,-0.006983000000000017,0.0,963,322,324,317,617,394,489,3666,3813,3785,0.168303,0.103331,0.129194
