variant,size,seed,layers,similarity,run_tag,step,moves,tau,entropy,gini,drift,metrics_file
without_influencer,140,11,2,hybrid,without_influencer_size140_seed11_L2_hybrid,4,0,0.605855,0.709067,0.319944,0.094719,outputs\size_sweep\metrics\without_influencer_size140_seed11_L2_hybrid.csv
without_influencer,140,11,2,hybrid,without_influencer_size140_seed11_L2_hybrid,5,1,0.625724,0.666394,0.301348,0.068724,outputs\size_sweep\metrics\without_influencer_size140_seed11_L2_hybrid.csv
without_influencer,140,11,2,hybrid,without_influencer_size140_seed11_L2_hybrid,6,3,0.637729,0.637941,0.288972,0.051572,outputs\size_sweep\metrics\without_influencer_size140_seed11_L2_hybrid.csv
without_influencer,140,11,2,hybrid,without_influencer_size140_seed11_L2_hybrid,7,1,0.645384,0.619993,0.281159,0.039997,outputs\size_sweep\metrics\without_influencer_size140_seed11_L2_hybrid.csv
without_influencer,140,11,2,hybrid,without_influencer_size140_seed11_L2_hybrid,8,1,0.650909,0.606713,0.275237,0.031677,outputs\size_sweep\metrics\without_influencer_size140_seed11_L2_hybrid.csv
without_influencer,140,11,2,hybrid,without_influencer_size140_seed11_L2_hybrid,9,1,0.655029,0.595836,0.270558,0.026526,outputs\size_sweep\metrics\without_influencer_size140_seed11_L2_hybrid.csv
without_influencer,140,11,2,hybrid,without_influencer_size140_seed11_L2_hybrid,10,0,0.658102,0.588022,0.267237,0.02191,outputs\size_sweep\metrics\without_influencer_size140_seed11_L2_hybrid.csv
without_influencer,140,11,2,hybrid,without_influencer_size140_seed11_L2_hybrid,11,1,0.660535,0.581073,0.264159,0.018288,outputs\size_sweep\metrics\without_influencer_size140_seed11_L2_hybrid.csv
without_influencer,140,11,2,hybrid,without_influencer_size140_seed11_L2_hybrid,12,0,0.662487,0.575482,0.261833,0.015541,outputs\size_sweep\metrics\without_influencer_size140_seed11_L2_hybrid.csv
without_influencer,140,11,3,hybrid,without_influencer_size140_seed11_L3_hybrid,1,127,0.485622,1.128317,0.492228,0.301683,outputs\size_sweep\metrics\without_influencer_size140_seed11_L3_hybrid.csv
without_influencer,140,11,3,hybrid,without_influencer_size140_seed11_L3_hybrid,2,17,0.578975,0.95541,0.423512,0.191326,outputs\size_sweep\metrics\without_influencer_size140_seed11_L3_hybrid.csv
without_influencer,140,11,3,hybrid,without_influencer_size140_seed11_L3_hybrid,3,4,0.618817,0.857893,0.382821,0.126965,outputs\size_sweep\metrics\without_influencer_size140_seed11_L3_hybrid.csv
without_influencer,140,11,3,hybrid,without_influencer_size140_seed11_L3_hybrid,4,2,0.640178,0.794815,0.356172,0.089399,outputs\size_sweep\metrics\without_influencer_size140_seed11_L3_hybrid.csv
without_influencer,140,11,3,hybrid,without_influencer_size140_seed11_L3_hybrid,5,3,0.652374,0.75946,0.340807,0.064587,outputs\size_sweep\metrics\without_influencer_size140_seed11_L3_hybrid.csv
without_influencer,140,11,3,hybrid,without_influencer_size140_seed11_L3_hybrid,6,2,0.659541,0.736519,0.330902,0.047906,outputs\size_sweep\metrics\without_influencer_size140_seed11_L3_hybrid.csv
without_influencer,140,11,3,hybrid,without_influencer_size140_seed11_L3_hybrid,7,1,0.664468,0.719934,0.323598,0.036782,outputs\size_sweep\metrics\without_influencer_size140_seed11_L3_hybrid.csv
without_influencer,140,11,3,hybrid,without_influencer_size140_seed11_L3_hybrid,8,1,0.667879,0.709296,0.318896,0.028461,outputs\size_sweep\metrics\without_influencer_size140_seed11_L3_hybrid.csv
without_influencer,140,11,3,hybrid,without_influencer_size140_seed11_L3_hybrid,9,0,0.670229,0.700564,0.315102,0.021944,outputs\size_sweep\metrics\without_influencer_size140_seed11_L3_hybrid.csv
without_influencer,140,11,3,hybrid,without_influencer_size140_seed11_L3_hybrid,10,1,0.671962,0.695903,0.313027,0.017409,outputs\size_sweep\metrics\without_influencer_size140_seed11_L3_hybrid.csv
